Observability & Ops,Logging schemas/correlation IDs; request IDs for end‑to‑end tracing.,"Fuze employs an event-based PubSub architecture where every API action is captured as an ""Event"" and logged to an immutable audit service (RDS) for end-to-end tracing. Access logs and critical system activities are centralized in a SIEM (Wazuh) and retained for 8 years to ensure full regulatory compliance and auditability. Fuze also supports tracing using traceparent header for end to end tracebility",
Observability & Ops,"Metrics exposed (latency, throughput, error rates) and consumption methods (Prometheus, CloudWatch).","The platform utilizes a TIG stack (Telegraf, InfluxDB, Grafana) alongside an internal StatsD implementation to expose real-time metrics such as latency, throughput (up to 1000 TPS), and error rates. These metrics drive auto-scalability based on queue loads and are visualized via Grafana dashboards or integrated Prometheus endpoints",
Observability & Ops,"Alerting and incident management integration (PagerDuty, Opsgenie, email/webhooks).","Incident management is integrated with PagerDuty to dispatch alerts via SMS, email, and phone calls to support engineers for critical failures. Security incidents detected by the IDS/IPS and Wazuh SIEM automatically trigger notifications to the security team, ensuring immediate response to anomalies",
Observability & Ops,"Customer support SLAs, escalation paths, and regional coverage hours.","Support coverage is 09:30–17:30 GST on business days, with P1 (Critical) incidents carrying a strict SLA of 30-minute response and 8-hour resolution. Partners have access to a dedicated portal, email, and phone support, backed by a detailed escalation matrix including specific contacts for technical and compliance leadership",
Observability & Ops,"Status page, maintenance notifications, and postmortem access.","Planned maintenance is notified 72 hours in advance (limited to 8 hours/month), while material API changes require a 14-day notice period. Emergency updates are communicated within 24 hours, and clients can generate real-time performance and availability trend reports directly through the web interface",
,,,
Versioning & Change Management,,,
Versioning & Change Management,"API versioning policy (semantic versioning, breaking change rules)."," Material API changes require at least 14 days' written notice, while updated or terminated API services retain support for a minimum of 6 months to ensure business continuity",
Versioning & Change Management,"Deprecation timelines, communication channels, and migration guides.","Deprecation and maintenance notifications are sent via designated support channels (email/portal), with provisions for testing environments to assist partners in validating compatibility prior to material system changes",
Versioning & Change Management,"Feature flags, pilot/beta programs, and rollback strategies.","New features are managed through MVPs and a daily CI/CD release schedule that utilizes rolling deployments to ensure zero downtime during updates. All releases are logged in GitHub version control and include a mandatory Risk Assessment Report, supporting automated failovers and rapid rollback capabilities should a deployment fail",
,,,
Billing & Commercials,,,
Billing & Commercials,"Pricing model (per order, per message, per user, per venue); overage handling.",,
Billing & Commercials,Metering sources of truth and dispute process; monthly usage reports.,,
Billing & Commercials,Contractual SLAs and penalties; termination/exit assistance commitments.,,
,,,
Architecture Fit (Microservices on AWS),,,
Architecture Fit (Microservices on AWS),Deployment models compatible with EKS/ECS/Lambda; container images and resource profiles.,"The solution utilises a microservices architecture deployed on AWS ECS with Docker containers, managed via a daily CI/CD pipeline with images stored in a private ECR repository. Resources are managed through horizontal autoscaling based on queue load metrics, supporting five distinct environments (Prod, Pre-prod, Staging, Dev, DR) within AWS",
Architecture Fit (Microservices on AWS),Scalability characteristics under load; autoscaling signals and limits.,"The solution utilises a microservices architecture on AWS ECS that performs horizontal autoscaling driven specifically by queue load metrics to dynamically adjust provisioned capacity based on traffic intensity via an event-based PubSub model. This elastic scaling design allows the platform to maintain consistent performance during load spikes, supporting a maximum throughput of 1000 Transactions Per Second (TPS). To prevent degradation, the API service offloads intensive tasks to background services using a message bus, ensuring high availability even under peak conditions",
Architecture Fit (Microservices on AWS),"Idempotent, stateless endpoints preferred; session stickiness requirements if any.","The architecture utilises a horizontally scalable API service behind an AWS Application Load Balancer (ALB) using an event-based PubSub model where every action is processed as a discrete event. Session state is managed at the application layer rather than requiring load balancer stickiness, enforcing strict controls such as 15-minute timeouts and prohibiting concurrent logins,. Access is authenticated via SSO and Zero Trust ACLs, ensuring stateless validation of requests independent of the specific backend instance",
Architecture Fit (Microservices on AWS),Sample Terraform/CloudFormation modules or VPC endpoints for integration.,Fuze can connect via VPC endpoints.,
Architecture Fit (Microservices on AWS),"Support for AWS integrations (PrivateLink, IAM Roles Anywhere, KMS, CloudWatch).","Fuze supports PrivateLink, IAM Roles, KMS and Cloudwatch as foundational components",
,,,
Testing & QA,,,
Testing & QA,"Contract testing support (OpenAPI/Swagger, Pact).",OpenAPI and Swagger,
Testing & QA,"Performance test targets (p95/p99 latency, throughput) and test datasets.",300ms latency for p99,
Testing & QA,Test harnesses/emulators; simulators for order flows and market conditions.,Already implemented in the sandbox,
Testing & QA,Regression test suites and results for recent releases.,"Each change is deployed and tested against end-to-end (E2E) tests and unit tests to ensure build integrity. Additionally, Fuze conducts User Acceptance Testing (UAT) for each change prior to release.",
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
